date,E_NF@KAU.A,ECT@KAU.A,EMN@KAU.A,E_TTU@KAU.A,E_TU@KAU.A,E_TRADE@KAU.A,EIF@KAU.A,E_FIR@KAU.A,EFI@KAU.A,ERE@KAU.A,E_PBS@KAU.A,EPS@KAU.A,EMA@KAU.A,EAD@KAU.A,E_EDHC@KAU.A,EED@KAU.A,EHC@KAU.A,E_LH@KAU.A,EAE@KAU.A,EAF@KAU.A,EOS@KAU.A,EGV@KAU.A,EGVFD@KAU.A,E_GVSL@KAU.A,EMPL@KAU.A,UR@KAU.A,ERT@KAU.A,EWT@KAU.A
1984-01-01,15.741666666666667,0.6455666666666666,1.2034666666666665,3.510966666666667,1.03835,,,0.8072083333333333,0.28680939010518464,0.5204000000000001,,,,,,,1.102475,,,4.1107,,2.775,0.2999999999999999,2.475,,,,
1985-01-01,16.725,0.7642666666666668,1.1648833333333333,3.7455666666666665,1.105375,,,0.8538333333333333,0.3047001600500899,0.5491333333333334,,,,,,,1.1338833333333334,,,4.459808333333333,,2.758333333333333,0.29999999999999993,2.4583333333333335,,,,
1986-01-01,17.916666666666668,0.8597333333333333,1.1228249999999997,4.093675,1.1809249999999998,,,0.9366000000000001,0.3343928501367385,0.6022083333333333,,,,,,,1.1475,,,4.891408333333334,,2.8249999999999997,0.3,2.525,,,,
1987-01-01,19.316666666666666,0.9840916666666668,1.0502333333333334,4.387066666666667,1.2734999999999999,,,1.0255083333333332,0.3671892937702434,0.6583166666666668,,,,,,,1.2794166666666669,,,5.473916666666667,,2.9333333333333336,0.29999999999999993,2.6333333333333337,,,,
1988-01-01,21.025,0.9894666666666667,1.0015583333333336,4.561374999999999,1.3627166666666664,,,1.1293583333333335,0.4056688387219351,0.7236916666666667,,,,,,,1.398225,,,6.530533333333333,,3.083333333333333,0.3,2.7833333333333337,,,,
1989-01-01,23.191666666666663,1.6027500000000001,0.9202,5.010625,1.453175,,,1.4030666666666667,0.511517396307868,0.89155,,,,,,,1.5821666666666667,,,6.9967250000000005,,3.2250000000000005,0.3499999999999999,2.8750000000000004,,,,
1990-01-01,24.049999999999997,1.7999999999999998,0.8250000000000001,5.416666666666667,1.4000000000000001,4.008333333333334,0.39999999999999997,1.3416666666666666,0.49977085242896413,0.8416666666666667,1.4000000000000001,0.3,-1.2975050137589207e-16,1.1,1.6583333333333334,0.09981343283582092,1.5583333333333333,7.2749999999999995,0.8083333333333332,6.466666666666667,0.575,3.3583333333333334,0.3999023914104441,2.9583333333333335,25116.666666666668,3.9416666666666664,3.525,0.4833333333333334
1991-01-01,25.241666666666664,1.7000000000000002,0.8083333333333335,5.433333333333333,1.4416666666666667,3.9916666666666667,0.3416666666666666,1.2833333333333332,0.45833333333333326,0.8250000000000001,1.5166666666666668,0.325,0.10035523978685609,1.0916666666666666,1.775,0.09982062780269058,1.6666666666666667,8.175,0.775,7.4,0.6166666666666666,3.591666666666667,0.39990157480314953,3.191666666666667,27275.0,4.241666666666666,3.525,0.46666666666666673
1992-01-01,24.566666666666666,1.7000000000000002,0.7999999999999999,5.108333333333333,1.4249999999999998,3.683333333333333,0.33333333333333326,1.175,0.4914496910856135,0.6833333333333332,1.4999999999999998,0.35833333333333317,0.04999999999999996,1.0916666666666668,1.8416666666666666,0.10008673026886382,1.7416666666666671,7.633333333333333,0.8166666666666665,6.816666666666666,0.5916666666666667,3.883333333333333,0.4001001753067869,3.483333333333334,26491.666666666668,9.825000000000001,3.2833333333333337,0.4
1993-01-01,22.40833333333333,2.8249999999999997,0.48333333333333334,4.858333333333333,1.2,3.6583333333333337,0.29999999999999993,1.0499999999999998,0.3996613039796781,0.65,1.5333333333333334,0.40014947683109114,0.04166666666666668,1.0916666666666668,1.9166666666666663,0.09999999999999996,1.816666666666667,4.716666666666666,0.7000000000000002,4.016666666666666,0.5666666666666665,4.158333333333333,0.42533385703063636,3.7333333333333334,24683.333333333332,13.291666666666664,3.2583333333333333,0.4
